R18,-20.80,-13.81,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR1,-12.95,12.59,270.00,0.47,CPF0201D7K68C1_0201
R1_USB,0.03,10.15,180.00,5K1,CPF0201D7K68C1_0201
R2,-15.07,-8.85,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-14.75,12.59,90.00,10K,CPF0201D7K68C1_0201
R2_USB,-2.95,10.14,0.00,5K1,CPF0201D7K68C1_0201
R3,-6.51,-1.35,180.00,0,CPF0201D7K68C1_0201
R4,-14.45,-10.23,270.00,0,CPF0201D7K68C1_0201
R5,-12.45,-12.17,90.00,10K,CPF0201D7K68C1_0201
R7,8.85,-12.39,270.00,10K,CPF0201D7K68C1_0201
R8,-1.85,-12.35,180.00,10K,CPF0201D7K68C1_0201
R9,-1.65,-6.55,180.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,17.03,-6.55,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-7.59,15.15,180.00,2.2,CPF0201D7K68C1_0201
SJ1,-9.47,14.62,90.00,SJ1,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,10.55,-14.14,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.45,-14.14,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.35,-14.14,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,16.16,16.14,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,10.18,16.22,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,15.38,-15.61,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,19.32,-14.15,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-7.08,-16.02,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-4.95,-15.95,270.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,6.54,15.76,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-15.10,-16.22,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-22.12,-8.18,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,20.70,12.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,20.64,7.99,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,12.32,-7.41,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,10.29,-11.08,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-1.12,-10.28,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,7.16,-0.73,0.00," nRF52840",NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,6.99,-8.89,90.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,13.57,2.68,90.00,32MHZ,NORDIC_NRF_BT-XTAL_2016_N
X2,-0.01,2.28,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
